Company Name (English),Company Name (Chinese),Booth/Hall Number,Hall Name (English),Hall Name (Chinese),All Booths,ID
"SHANGHAI CATHAY I.T. CO., LTD.",上海开卅信息技术有限公司,E1,Bicycles,整车品牌馆,E1-1544,official_66
"SHENZHEN VIBEE TECHNOLOGY CO., LTD.",深圳市玮泊科技有限公司,E1,Bicycles,整车品牌馆,E1-1707,official_67
"SHENZHEN GUB BIKE TRADING CO., LTD.",深圳市金盟自行车贸易有限公司,E1,Bicycles,整车品牌馆,E1-1709,official_68
TAICANAG DONGCHENG PLASTIC COMPANY,太仓东诚塑胶有限公司,E1,Bicycles,整车品牌馆,E1-1712,official_69
"LINHAO TECHNOLOGY (HUIZHOU) CO., LTD.",良豪科技（惠州）有限公司,E1,Bicycles,整车品牌馆,E1-1715,official_70
TAIZHOU HUANGYAN FANGDA VEHICLE FITTINGS FACTORY,台州市黄岩方大车辆配件厂,E1,Bicycles,整车品牌馆,E1-1717,official_71
"JIANGYIN CHIVER CABLE CO., LTD.",无锡华萨车业有限公司/江阴华江导索有限公司,E1,Bicycles,整车品牌馆,E1-1721,official_72
"AZURTEK TECHNOLOGY (NING BO) CO., LTD.",宁波欧卓车业有限公司,E1,Bicycles,整车品牌馆,E1-1723,official_73
"GUANAGDONG CHICHEN CYCLING CO., LTD.",广东赤辰车业有限公司,E1,Bicycles,整车品牌馆,E1-1725,official_74
惠州市普欧运动器材有限公司,惠州市普欧运动器材有限公司,E1,Bicycles,整车品牌馆,E1-1726,official_75
"GUANGZHOU YISHIGAO ELECTRONIC CO., LTD.",广州伊仕高电子有限公司,E1,Bicycles,整车品牌馆,E1-1728,official_76
COMPREHENSIVE TECHNOLOGY SERVICE CENTER OF KUNSHAN CUSTOMS,昆山海关综合技术服务中心,E1,Bicycles,整车品牌馆,E1-1729,official_77
PINGXIANG COUNTY YUANTU BICYCLE ACCESSORIES FACTORY,平乡县远途自行车配件厂,E1,Bicycles,整车品牌馆,E1-1730,official_78
"DONGGUAN EASING HARDWARE CO., LTD.",东莞市毅鑫五金制品有限公司,E1,Bicycles,整车品牌馆,E1-1731,official_79
"XINGTAI FURUIKE BICYCLE CO., LTD.",邢台福瑞克自行车有限公司,E1,Bicycles,整车品牌馆,E1-1801,official_80
"MAANSHAN YIJUN METAL PRODUCTS CO., LTD.",马鞍山益隽金属制品有限公司,E1,Bicycles,整车品牌馆,E1-1804,official_81
"LANXI AOTONG FRICTION MATERIAL CO., LTD.",兰溪奥通摩擦材料有限公司,E1,Bicycles,整车品牌馆,E1-1806,official_82
"GUANG ZONG DIAMOND BICYCLE FREEWHEEL CO., LTD.",广宗钻石自行车飞轮有限公司,E1,Bicycles,整车品牌馆,E1-1807,official_83
"TABITHA SPORTS EQUIPMENT (TIANJIN) CO., LTD.",踏比达运动器材（天津）有限公司,E1,Bicycles,整车品牌馆,E1-1811,official_84
LIOW KO ELECTRONIC TECHNOLOGY (SZ) LTD.,六哥电子科技（深圳）有限公司,E1,Bicycles,整车品牌馆,E1-1813,official_85
"HANGZHOU NOVICH MACHINERY TECHNOLOGY CO., LTD.",杭州诺维奇机械科技有限公司,E1,Bicycles,整车品牌馆,E1-1815,official_86
CIXI KUANGYAN HONGPENG OUTDOOR PRODUCTS FACTORY,慈溪市匡堰洪鹏户外用品厂,E1,Bicycles,整车品牌馆,E1-1816,official_87
"NANTONG YUQI METAL PRODUCTS CO., LTD.",南通雨奇金属制品有限公司,E2,Accessories,零配件馆,E2-0001,official_88
平乡县迈骑自行车配件厂,平乡县迈骑自行车配件厂,E2,Accessories,零配件馆,E2-0005,official_89
"FOSHAN JUDATONG TECHNOLOGY CO., LTD.",佛山市聚达通科技有限公司,E2,Accessories,零配件馆,E2-0008,official_90
"HEBEI NAILI BICYCLE MANUFACTURING CO., LTD.",河北耐力自行车制造有限公司,E2,Accessories,零配件馆,E2-0009,official_91
XON LTD.,欧马有限公司,E2,Accessories,零配件馆,E2-0011,official_92
"TSAI JUNG METAL PRODUCTS (TAICANG) CO., LTD.",财荣金属制品（太仓）有限公司,E2,Accessories,零配件馆,E2-0013,official_93
"CIXI KAIZHI BICYCLE CO., LTD.",慈溪市凯质车业有限公司,E2,Accessories,零配件馆,E2-0015,official_94
"XIN RUI SHENG HARDWARE PRODUCT (SHENZHEN) CO., LTD.",深圳市鑫睿升五金制品有限公司,E2,Accessories,零配件馆,E2-0017,official_95
"TIANJIN FEIYADA STEEL BALLS CO., LTD.",天津市飞亚达钢珠有限公司,E2,Accessories,零配件馆,E2-0021,official_96
CIXI KUANGYAN AOCHIDA VEHICLE SPARE PARTS FACTORY,慈溪市匡堰镇奥驰达车业配件厂,E2,Accessories,零配件馆,E2-0022,official_97
"TIANJIN BAIFENG BICYCLE PARTS CO., LTD.",天津百丰自行车零件有限公司,E2,Accessories,零配件馆,E2-0023,official_98
"FEIXIANG BICYCLE TECHNOLOGY (XINGTAI) CO., LTD.",飞翔自行车科技（邢台）有限公司,E2,Accessories,零配件馆,E2-0025,official_99
HAIBO BICYCLE SPARE PARTS LTD.,平乡县海波自行车配件有限公司,E2,Accessories,零配件馆,E2-0027,official_100
"JURONG GOOD METAL PRODUCTS CO., LTD.",句容市固德五金制品有限公司,E2,Accessories,零配件馆,E2-0031,official_101
"ZHUHAI L-TWOO SPORT TECHNOLOGY CO., LTD.",珠海蓝图运动科技股份有限公司,E2,Accessories,零配件馆,E2-0105,official_102
"NINGBO TINGBO BICYCLE CO., LTD.",宁波挺博车业有限公司,E2,Accessories,零配件馆,E2-0111,official_103
CHANGZHOU GIMENI METALLIC PRODUCTS,常州捷美耐金属制品有限公司,E2,Accessories,零配件馆,E2-0116,official_104
"CHANGZHOU JUNYUE BICYCLE CO., LTD.",常州君悦车业有限公司,E2,Accessories,零配件馆,E2-0118,official_105
"JIANGSU TRAMA INDUSTRIAL TECHNOLOGY CO., LTD.",江苏川玛工业科技有限公司,E2,Accessories,零配件馆,E2-0121,official_106
"TAIZHOU ANTAI BICYCLE CO., LTD.",泰州市安泰车业有限公司,E2,Accessories,零配件馆,E2-0123,official_107
天津市瑞安自行车有限公司,天津市瑞安自行车有限公司,E2,Accessories,零配件馆,E2-0126,official_108
"DONGGUAN XINYUSHENG METAL PRODUCTS CO., LTD.",东莞市欣裕盛金属制品有限公司,E2,Accessories,零配件馆,E2-0132,official_109
"KINESIS INDUSTRY CO., LTD.",广州经济技术开发区卜威工业有限公司,E2,Accessories,零配件馆,E2-0134,official_110
"TIANJIN YAKUO INDUSTRY TRADE CO., LTD.",大城县坤翊金属材料有限公司（天津市雅阔工贸有限公司）,E2,Accessories,零配件馆,E2-0136,official_111
"SHANGHAI SUMMARUI INDUSTRY CO., LTD.",上海虎贲车业有限公司,E2,Accessories,零配件馆,E2-0142,official_112
"SHUENN-DER GOODLY PAINT CO., LTD.",佛山市顺德区固得丽涂料有限公司,E2,Accessories,零配件馆,E2-0145,official_113
"HAOMENG BICYCLE (SHANGHAI) CO., LTD. / MINTA AL-TECH (TAICANG) CO., LTD. / SUZHOU MAYA TRADING CO., LTD. / TAICANG TEC INTERNATIONAL TRADING CO., LTD.",浩盟车料（上海）有限公司/明达铝业科技（太仓）有限公司/苏州鑫镁亚贸易有限公司/太仓钛克国际贸易有限公司,E2,Accessories,零配件馆,E2-0201,official_114
"SHENZHEN DUOTE BICYCLE CO., LTD.",深圳市多特自行车有限公司,E2,Accessories,零配件馆,E2-0326,official_115
天津迈金机械科技有限公司,天津迈金机械科技有限公司,E2,Accessories,零配件馆,E2-0329,official_116
"NINGBO RISHANG HARDWARE PRODUCTS CO., LTD.",宁波日尚五金制品有限公司,E2,Accessories,零配件馆,E2-0332,official_117
"CHANGSHU CHANGFA ALUMINUM IND CO., LTD.",常熟市长发铝业有限公司,E2,Accessories,零配件馆,E2-0336,official_118
"SHENZHEN MOMO TRADING CO., LTD.",深圳市么么贸易有限公司,E2,Accessories,零配件馆,E2-0342,official_119
"GUANGZHOU MCYCLE SPORTS PRODUCTS CO., LTD.",广州市魅骑运动用品有限公司,E2,Accessories,零配件馆,E2-0345,official_120
"MAGIX NEW MATERIAL TECHNOLOGY (JIANGSU) CO., LTD.",江苏迈吉斯新材料科技有限公司,E2,Accessories,零配件馆,E2-0346,official_121
"VELO CYCLE (KUNSHAN) CO., LTD.",维乐车料（昆山）有限公司,E2,Accessories,零配件馆,E2-0405,official_122
"WELLGO CYCLE ACCESSORIES (KUNSHAN) CO., LTD.",维格车料（昆山）有限公司,E2,Accessories,零配件馆,E2-0407,official_123
"JUSTEK VEHICLE CO., LTD. TIANJIN.CHINA",天津嘉思特车业股份有限公司,E2,Accessories,零配件馆,E2-0411,official_124
"SHENZHEN FDKOBE BIKE CORP CO., LTD.",深圳市锋达科技有限公司,E2,Accessories,零配件馆,E2-0416,official_125
"LANXI ASIASHENG MACHINERY CO., LTD.",兰溪亚晟机械有限公司,E2,Accessories,零配件馆,E2-0418,official_126
"HUIZHOU SOLON SPORTS EQUIQMENT CO., LTD.",惠州速轮运动器材有限公司,E2,Accessories,零配件馆,E2-0421,official_127
"SINGGRIL HARDWARE IND (KUNSHAN) CO., LTD.",新格五金工业（昆山）有限公司,E2,Accessories,零配件馆,E2-0526,official_128
"DONGTAI KANGLONG BICYCLE CO., LTD.",东台市康隆车业有限公司,E2,Accessories,零配件馆,E2-0528,official_129
"KUNSHAN JOGON PACKING CO., LTD.",昆山久广包装制品有限公司,E2,Accessories,零配件馆,E2-0530,official_130
"SHENZHEN WATE TECHNOLOGY INTELLIGENT MANUFACTURING CO., LTD.",深圳市瓦特技术智造有限公司/恩利,E2,Accessories,零配件馆,E2-0532,official_131
"HEBEI PUSAI BICYCLE CORP., LTD.",河北普赛自行车有限公司,E2,Accessories,零配件馆,E2-0534,official_132
"SHENZHEN TANKE BIKE CO., LTD.",深圳碳客自行车有限公司,E2,Accessories,零配件馆,E2-0536,official_133
"LANXI RUIXIANG CHAIN CO., LTD.",兰溪市瑞祥链业有限公司,E2,Accessories,零配件馆,E2-0539,official_134
"HANDAN TENGLIN BICYCLE CO., LTD.",邯郸市腾林自行车有限公司,E2,Accessories,零配件馆,E2-0542,official_135
"DESTINY RACING (HUAIAN) INTERNATIONAL CO., LTD.",明伦运动器材（淮安）有限公司,E2,Accessories,零配件馆,E2-0545,official_136
"SR SUNTOUR MACHINERY (KUNSHAN) CO., LTD.",荣轮机械（昆山）有限公司,E2,Accessories,零配件馆,E2-0705,official_137
"PIN SHANG JIA BICYCLE (SHENZHEN) APPLIANCE CO., LTD.",品上佳自行车（深圳）有限公司,E2,Accessories,零配件馆,E2-0711,official_138
"SHENZHEN YONG DING HONG SCIENCE AND TECHNOLOGY CO., LTD.",深圳市永鼎宏科技有限公司,E2,Accessories,零配件馆,E2-0716,official_139
"SHENZHEN GINEYEA TECHNOLOGY CO., LTD.",深圳市景晔交通器材有限公司,E2,Accessories,零配件馆,E2-0721,official_140
"XINGTAI YIFENG TECHNOLOGY CO., LTD.",邢台燚烽科技有限公司,E2,Accessories,零配件馆,E2-0729,official_141
"NINGBO LONGHUI BICYCLE CO., LTD.",宁波隆辉车业有限公司,E2,Accessories,零配件馆,E2-0732,official_142
"SHENZHEN YIBOTONG BICYCLE PART CO., LTD.",深圳市益钵通自行车配件有限公司,E2,Accessories,零配件馆,E2-0736,official_143
"SHENZHEN MOTION SPORTS INDUSTRY CO., LTD.",深圳市魔迅体育实业有限公司,E2,Accessories,零配件馆,E2-0742,official_144
"KUNSHAN XERO BICYCLE MATERIAL CO., LTD.",昆山鑫元鸿车料有限公司,E2,Accessories,零配件馆,E2-0745,official_145
"NINGBO SHUNFENG BICYCLE CO., LTD.",宁波晟路车业有限公司（原顺峰）,E2,Accessories,零配件馆,E2-0901,official_146
江苏美乐链条车圈有限公司/江苏华久辐条制造有限公司,江苏美乐链条车圈有限公司/江苏华久辐条制造有限公司,E2,Accessories,零配件馆,E2-0905,official_147
HL CORP (SHENZHEN),深圳信隆健康产业发展股份有限公司,E2,Accessories,零配件馆,E2-0911,official_148
"NINGBO SUNRUN BICYCLE CO., LTD.",宁波日骋车业有限公司,E2,Accessories,零配件馆,"E2-0916, E2-0334",official_149
NECO,江苏志庆精密五金零件有限公司,E2,Accessories,零配件馆,E2-0921,official_150
"CIXI CITY KENLI AXLES CO., LTD.",慈溪市肯力中轴有限公司,E2,Accessories,零配件馆,E2-0926,official_151
SLHBIKE,上海箭羽贸易有限公司,E2,Accessories,零配件馆,E2-0932,official_152
TIANJIN DACHENG WEIYE TECHNOLOGY INC.,天津市大城伟业科技股份有限公司,E2,Accessories,零配件馆,E2-0934,official_153
"FASTACE PRECISION METALS CO., LTD.",中山市法斯特精密五金有限公司,E2,Accessories,零配件馆,E2-0936,official_154
"CIONLLI BICYCLE COMPONENTS CO., LTD.",祥力自行车配件（太仓）有限公司,E2,Accessories,零配件馆,E2-0939,official_155
"SUZHOU FALCON CYCLE-PARTS CO., LTD.",苏州福而康车料有限公司,E2,Accessories,零配件馆,E2-0942,official_156
"YUNGFANG PLASTIC METAL (KUNSHAN) CO., LTD.",永芳塑胶（昆山）有限公司,E2,Accessories,零配件馆,E2-0945,official_157
INTRODUCTION TO QINGDAO CHOHO INDUSTRIAL,青岛征和工业股份有限公司,E2,Accessories,零配件馆,E2-1132,official_158
"CHAGNZHOU ZHEGNLUN BICYCLE TECHNOLOGY CO., LTD.",常州正伦车业科技有限公司,E2,Accessories,零配件馆,E2-1136,official_159
"NINGBO DOUYU PLASTIC CO., LTD.",宁波市大圆塑胶有限公司,E2,Accessories,零配件馆,E2-1142,official_160
"YIWU BUNGO OUTDOOR PRODUCTS CO., LTD.",义乌蹦果户外用品有限公司/慈溪市通利车业有限公司,E2,Accessories,零配件馆,E2-1145,official_161
"CYCLE-BAY INTERNATIONAL CO., LTD.",大甲车业,E2,Accessories,零配件馆,E2-1205,official_162
"HUIZHOU MINGRUI SPORTS EQUIPMENT CO., LTD.",惠州市铭瑞运动器材有限公司,E2,Accessories,零配件馆,E2-1216,official_163
"XIANGYU INDUSTRIAL (TAICANG) CO., LTD.",翔宇实业（太仓）有限公司,E2,Accessories,零配件馆,E2-1218,official_164
"WUXI LASCO PRECISION MACHINE CO., LTD.",无锡莱斯克精密机件有限公司,E2,Accessories,零配件馆,E2-1221,official_165
"TEKTRO (WUXI) TECHNOLOGY CO., LTD.",伟成（无锡）金属有限公司,E2,Accessories,零配件馆,E2-1223,official_166
"NINGBO ZHONGYING BICYCLE PARTS CO., LTD.",宁波钟赢车业有限公司,E2,Accessories,零配件馆,E2-1226,official_167
"NINGBO HAOXING BICYCLE INDUSTRY CO., LTD.",宁波豪星车业有限公司,E2,Accessories,零配件馆,E2-1326,official_168
"TIANJIN ACCURA BICYCLE COMPONENTS CO., LTD.",天津顺泽天自行车零件有限公司（世兴恒）,E2,Accessories,零配件馆,E2-1332,official_169
"GUANGZHOU LEONIS MACHINERY CO., LTD.",广州市银三环机械有限公司,E2,Accessories,零配件馆,E2-1334,official_170
"HANGZHOU MINGYANG BICYCLE CO., LTD.",杭州铭洋车业有限公司,E2,Accessories,零配件馆,E2-1336,official_171
惠州市东鑫源五金制品有限公司,惠州市东鑫源五金制品有限公司,E2,Accessories,零配件馆,E2-1339,official_172
"TIANJIN RUIJIN SPORTS CO., LTD.",天津瑞锦体育用品有限公司,E2,Accessories,零配件馆,E2-1342,official_173
"TIANJIN AIBAIKE BICYCLE CO., LTD.",天津市艾拜克自行车股份有限公司,E2,Accessories,零配件馆,"E2-1345, W5-0915, E3-1640",official_174
"ASSESS PRECISION OPTICAL MACHINERY (JIANGSU) CO., LTD. / ASSESS INDUSTRY CO., LTD.",雅瑟斯精密机械（江苏）有限公司/雅瑟斯工业股份有限公司,E2,Accessories,零配件馆,E2-1346,official_175
"HUIZHOU SHUNMENG TECHNOLOGY CO., LTD.",惠州市顺盟科技有限公司,E2,Accessories,零配件馆,E2-1505,official_176
"SHENZHEN SANYUN TECHNOLOGY CO., LTD.",深圳市三云科技有限公司,E2,Accessories,零配件馆,E2-1508,official_177
"DONGGUAN YENYUE MACHINERY CO., LTD.",东莞元渝机械有限公司,E2,Accessories,零配件馆,E2-1511,official_178
"NOVATECWHEELS (SHEN ZHEN) CO., LTD.",诺飞客全球营销（深圳）有限公司,E2,Accessories,零配件馆,E2-1513,official_179
"SUZHOU DAWEI PRECISION CO., LTD.",苏州达韦精密工业有限公司,E2,Accessories,零配件馆,E2-1516,official_180
"SUNSTART METAL PRODUCTS CO., LTD.",唐山盛斯拓金属制品有限公司,E2,Accessories,零配件馆,E2-1521,official_181
"CIXI CITY SHENGFU BICYCLE INDUSTRY CO., LTD. / NINGBO SHENGJIE BICYCLE CO., LTD.",慈溪市圣福车业有限公司/宁波圣洁车业有限公司,E2,Accessories,零配件馆,E2-1526,official_182
"NANTONG REPUTE BICYCLE PARTS CO., LTD.",南通瑞普特车业有限公司,E2,Accessories,零配件馆,E2-1532,official_183
"NINGBO FENGLAN BICYCLE CO., LTD.",宁波市丰兰车业有限公司,E2,Accessories,零配件馆,E2-1534,official_184
"TIANJIN KASHIMA INDUSTRY BICYCLE CO., LTD.",天津市卡希玛车业有限公司,E2,Accessories,零配件馆,E2-1536,official_185
"BLUESKY (KUNSHAN) PRINTING CO., LTD.",昆山市蓝天印务有限公司,E2,Accessories,零配件馆,E2-1539,official_186
"ZHEJIANG SHANYANG SPORTS EQUIPMENT CO., LTD.",浙江善阳运动器材有限公司,E2,Accessories,零配件馆,E2-1542,official_187
"KUNSHAN HOVERIC SPORTS SCIENCE TECHNOLOGY CO., LTD.",昆山泓瑞凯运动科技有限公司,E2,Accessories,零配件馆,E2-1545,official_188
东莞富厚自行车零件有限公司,东莞富厚自行车零件有限公司,E2,Accessories,零配件馆,E2-1701,official_189
"JIANGYIN CITY JIUAN BICYCLE INDUSTRY CO., LTD.",江阴市久安车业有限公司,E2,Accessories,零配件馆,E2-1705,official_190
"JIUHONG METAL PRODUCTS (DONGGUAN) CO., LTD.",久鸿金属制品（东莞市）有限公司,E2,Accessories,零配件馆,E2-1707,official_191
"FOUNDER LAND PRECISION HARDWARE (DONGGUAN) CO., LTD.",逢联精密五金（东莞）有限公司,E2,Accessories,零配件馆,E2-1709,official_192
