name_en,name_cn,hall,booth,all_booths
深圳普洛姆运动科技有限公司,深圳普洛姆运动科技有限公司,E1,0544,[E1]0544
"SHENZHEN KESPOR BICYCLE CO., LTD. / HUIZHOU KESPOR BICYCLE CO., LTD.",惠州凯斯普瑞自行车有限公司,E1,0731,[E1]0731
"TIANJIN ARISE BIKE CO., LTD.",天津市阿琳达运动器材有限公司,E1,0736,[E1]0736
"IDEAL (DONGGUAN) BIKE CO., LTD.",爱地雅（东莞）自行车有限公司,E1,0742,[E1]0742
DONGGUAN JUSTECH CORPORATION LIMITED,东莞市杰顺车业科技有限公司,E1,0745,[E1]0745
"SHANGHAI FOREVER BICYCLE CO., LTD.",上海永久自行车有限公司,E1,0901,[E1]0901
"TIANJIN FUJI-TA BICYCLE INDUSTRIAL CO., LTD.",天津富士达自行车工业股份有限公司,E1,0905,[E1]0905
"NINGBO XINGLONG BICYCLE CO., LTD.",宁波兴隆巨创机电科技有限公司,E1,0916,[E1]0916
"TIANJIN KELIN VEHICLE CO., LTD.",天津科林车业有限公司,E1,0921,[E1]0921
"SUZHOU KMC INDUSTRY AND TRADE CO., LTD.",苏州桂盟科恩斯工贸有限公司,E1,0926,[E1]0926
"TIANJIN SHENGMEILIN BICYCLE CO., LTD.",天津市盛美林自行车有限公司,E1,0931,[E1]0931
GUANGZHOU VIVA BICYCLE CORP. LTD.,广州威华自行车有限公司,E1,0936,[E1]0936
"TIANJIN KINGTY BICYCLE CO., LTD.",天津锦泰自行车有限公司,E1,0942,[E1]0942
"TIANJIN AOMEI INDUSTRIAL CO., LTD.",天津市奥美工贸有限公司,E1,1131,[E1]1131
HANGZHOU GOOD FAITH,杭州名诚贸易有限公司,E1,1136,[E1]1136
"DAHON TECH (SHENZHEN) CO., LTD.",大行科工（深圳）股份有限公司,E1,1305,"[E1]1305,[E1]1701"
"DAHON TECH (SHENZHEN) CO., LTD.",大行科工（深圳）股份有限公司,E1,1701,"[E1]1305,[E1]1701"
"TIANJIN AISAIKE BICYCLE CO., LTD.",天津爱赛克车业有限公司,E1,1311,[E1]1311
"SHENZHEN SANDINCYCLE CO., LTD.",深圳市三鼎车业有限公司,E1,1316,[E1]1316
"HUIZHOU SAVA BICYCLE CO., LTD.",惠州萨瓦自行车有限公司,E1,1321,[E1]1321
"TANGSHAN JINHENTONG BICYCLE PARTS CO., LTD.",唐山金亨通车料有限公司,E1,1326,[E1]1326
"TIANJIN GAMMA ELECTRIC TECHNOLOGY CO., LTD.",天津捷马电动科技有限公司,E1,1331,[E1]1331
"ACETRIKES BICYCLES (ANHUI) CO., LTD.",安徽见诚自行车有限公司,E1,1336,[E1]1336
"GUANGZONG TONGFENG CHILDREN'S TOYS CO., LTD.",广宗县童枫儿童玩具有限公司,E1,1342,[E1]1342
"TIANJIN SAFEWAY SPORTS CO., LTD.",天津市赛威运动器材有限公司,E1,1531,[E1]1531
"TIANJIN SAFEWAY GREEN THEH CO., LTD.",天津市绿之行科技有限公司,E1,1534,[E1]1534
"BERNARD (TANGSHAN) TECHNOLGY CO., LTD.",伯纳德（唐山）科技有限公司,E1,1536,[E1]1536
"CHENG FENG PRECISION TECHNOLOGY CO., LTD.",诚锋精密科技股份有限公司,E1,1542,[E1]1542
"SHANGHAI CATHAY I.T. CO., LTD.",上海开卅信息技术有限公司,E1,1544,[E1]1544
"SHENZHEN VIBEE TECHNOLOGY CO., LTD.",深圳市玮泊科技有限公司,E1,1707,[E1]1707
"SHENZHEN GUB BIKE TRADING CO., LTD.",深圳市金盟自行车贸易有限公司,E1,1709,[E1]1709
TAICANAG DONGCHENG PLASTIC COMPANY,太仓东诚塑胶有限公司,E1,1712,[E1]1712
"LINHAO TECHNOLOGY (HUIZHOU) CO., LTD.",良豪科技（惠州）有限公司,E1,1715,[E1]1715
TAIZHOU HUANGYAN FANGDA VEHICLE FITTINGS FACTORY,台州市黄岩方大车辆配件厂,E1,1717,[E1]1717
"JIANGYIN CHIVER CABLE CO., LTD.",无锡华萨车业有限公司/江阴华江导索有限公司,E1,1721,[E1]1721
"AZURTEK TECHNOLOGY (NING BO) CO., LTD.",宁波欧卓车业有限公司,E1,1723,[E1]1723
"GUANAGDONG CHICHEN CYCLING CO., LTD.",广东赤辰车业有限公司,E1,1725,[E1]1725
惠州市普欧运动器材有限公司,惠州市普欧运动器材有限公司,E1,1726,[E1]1726
"GUANGZHOU YISHIGAO ELECTRONIC CO., LTD.",广州伊仕高电子有限公司,E1,1728,[E1]1728
COMPREHENSIVE TECHNOLOGY SERVICE CENTER OF KUNSHAN CUSTOMS,昆山海关综合技术服务中心,E1,1729,[E1]1729
PINGXIANG COUNTY YUANTU BICYCLE ACCESSORIES FACTORY,平乡县远途自行车配件厂,E1,1730,[E1]1730
"DONGGUAN EASING HARDWARE CO., LTD.",东莞市毅鑫五金制品有限公司,E1,1731,[E1]1731
"XINGTAI FURUIKE BICYCLE CO., LTD.",邢台福瑞克自行车有限公司,E1,1801,[E1]1801
"MAANSHAN YIJUN METAL PRODUCTS CO., LTD.",马鞍山益隽金属制品有限公司,E1,1804,[E1]1804
"LANXI AOTONG FRICTION MATERIAL CO., LTD.",兰溪奥通摩擦材料有限公司,E1,1806,[E1]1806
"GUANG ZONG DIAMOND BICYCLE FREEWHEEL CO., LTD.",广宗钻石自行车飞轮有限公司,E1,1807,[E1]1807
"TABITHA SPORTS EQUIPMENT (TIANJIN) CO., LTD.",踏比达运动器材（天津）有限公司,E1,1811,[E1]1811
LIOW KO ELECTRONIC TECHNOLOGY (SZ) LTD.,六哥电子科技（深圳）有限公司,E1,1813,[E1]1813
"HANGZHOU NOVICH MACHINERY TECHNOLOGY CO., LTD.",杭州诺维奇机械科技有限公司,E1,1815,[E1]1815
CIXI KUANGYAN HONGPENG OUTDOOR PRODUCTS FACTORY,慈溪市匡堰洪鹏户外用品厂,E1,1816,[E1]1816
"NANTONG YUQI METAL PRODUCTS CO., LTD.",南通雨奇金属制品有限公司,E2,0001,[E2]0001
平乡县迈骑自行车配件厂,平乡县迈骑自行车配件厂,E2,0005,[E2]0005
"FOSHAN JUDATONG TECHNOLOGY CO., LTD.",佛山市聚达通科技有限公司,E2,0008,[E2]0008
"HEBEI NAILI BICYCLE MANUFACTURING CO., LTD.",河北耐力自行车制造有限公司,E2,0009,[E2]0009
XON LTD.,欧马有限公司,E2,0011,[E2]0011
"TSAI JUNG METAL PRODUCTS (TAICANG) CO., LTD.",财荣金属制品（太仓）有限公司,E2,0013,[E2]0013
"CIXI KAIZHI BICYCLE CO., LTD.",慈溪市凯质车业有限公司,E2,0015,[E2]0015
"XIN RUI SHENG HARDWARE PRODUCT (SHENZHEN) CO., LTD.",深圳市鑫睿升五金制品有限公司,E2,0017,[E2]0017
"TIANJIN FEIYADA STEEL BALLS CO., LTD.",天津市飞亚达钢珠有限公司,E2,0021,[E2]0021
CIXI KUANGYAN AOCHIDA VEHICLE SPARE PARTS FACTORY,慈溪市匡堰镇奥驰达车业配件厂,E2,0022,[E2]0022
"TIANJIN BAIFENG BICYCLE PARTS CO., LTD.",天津百丰自行车零件有限公司,E2,0023,[E2]0023
"FEIXIANG BICYCLE TECHNOLOGY (XINGTAI) CO., LTD.",飞翔自行车科技（邢台）有限公司,E2,0025,[E2]0025
HAIBO BICYCLE SPARE PARTS LTD.,平乡县海波自行车配件有限公司,E2,0027,[E2]0027
"JURONG GOOD METAL PRODUCTS CO., LTD.",句容市固德五金制品有限公司,E2,0031,[E2]0031
"ZHUHAI L-TWOO SPORT TECHNOLOGY CO., LTD.",珠海蓝图运动科技股份有限公司,E2,0105,[E2]0105
"NINGBO TINGBO BICYCLE CO., LTD.",宁波挺博车业有限公司,E2,0111,[E2]0111
CHANGZHOU GIMENI METALLIC PRODUCTS,常州捷美耐金属制品有限公司,E2,0116,[E2]0116
"CHANGZHOU JUNYUE BICYCLE CO., LTD.",常州君悦车业有限公司,E2,0118,[E2]0118
"JIANGSU TRAMA INDUSTRIAL TECHNOLOGY CO., LTD.",江苏川玛工业科技有限公司,E2,0121,[E2]0121
"TAIZHOU ANTAI BICYCLE CO., LTD.",泰州市安泰车业有限公司,E2,0123,[E2]0123
天津市瑞安自行车有限公司,天津市瑞安自行车有限公司,E2,0126,[E2]0126
"DONGGUAN XINYUSHENG METAL PRODUCTS CO., LTD.",东莞市欣裕盛金属制品有限公司,E2,0132,[E2]0132
"KINESIS INDUSTRY CO., LTD.",广州经济技术开发区卜威工业有限公司,E2,0134,[E2]0134
"TIANJIN YAKUO INDUSTRY TRADE CO., LTD.",大城县坤翊金属材料有限公司（天津市雅阔工贸有限公司）,E2,0136,[E2]0136
"SHANGHAI SUMMARUI INDUSTRY CO., LTD.",上海虎贲车业有限公司,E2,0142,[E2]0142
"SHUENN-DER GOODLY PAINT CO., LTD.",佛山市顺德区固得丽涂料有限公司,E2,0145,[E2]0145
"HAOMENG BICYCLE (SHANGHAI) CO., LTD. / MINTA AL-TECH (TAICANG) CO., LTD. / SUZHOU MAYA TRADING CO., LTD. / TAICANG TEC INTERNATIONAL TRADING CO., LTD.",浩盟车料（上海）有限公司/明达铝业科技（太仓）有限公司/苏州鑫镁亚贸易有限公司/太仓钛克国际贸易有限公司,E2,0201,[E2]0201
"SHENZHEN DUOTE BICYCLE CO., LTD.",深圳市多特自行车有限公司,E2,0326,[E2]0326
天津迈金机械科技有限公司,天津迈金机械科技有限公司,E2,0329,[E2]0329
"NINGBO RISHANG HARDWARE PRODUCTS CO., LTD.",宁波日尚五金制品有限公司,E2,0332,[E2]0332
"CHANGSHU CHANGFA ALUMINUM IND CO., LTD.",常熟市长发铝业有限公司,E2,0336,[E2]0336
"SHENZHEN MOMO TRADING CO., LTD.",深圳市么么贸易有限公司,E2,0342,[E2]0342
"GUANGZHOU MCYCLE SPORTS PRODUCTS CO., LTD.",广州市魅骑运动用品有限公司,E2,0345,[E2]0345
"MAGIX NEW MATERIAL TECHNOLOGY (JIANGSU) CO., LTD.",江苏迈吉斯新材料科技有限公司,E2,0346,[E2]0346
"VELO CYCLE (KUNSHAN) CO., LTD.",维乐车料（昆山）有限公司,E2,0405,[E2]0405
"WELLGO CYCLE ACCESSORIES (KUNSHAN) CO., LTD.",维格车料（昆山）有限公司,E2,0407,[E2]0407
"JUSTEK VEHICLE CO., LTD. TIANJIN.CHINA",天津嘉思特车业股份有限公司,E2,0411,[E2]0411
"SHENZHEN FDKOBE BIKE CORP CO., LTD.",深圳市锋达科技有限公司,E2,0416,[E2]0416
"LANXI ASIASHENG MACHINERY CO., LTD.",兰溪亚晟机械有限公司,E2,0418,[E2]0418
"HUIZHOU SOLON SPORTS EQUIQMENT CO., LTD.",惠州速轮运动器材有限公司,E2,0421,[E2]0421
"SINGGRIL HARDWARE IND (KUNSHAN) CO., LTD.",新格五金工业（昆山）有限公司,E2,0526,[E2]0526
"DONGTAI KANGLONG BICYCLE CO., LTD.",东台市康隆车业有限公司,E2,0528,[E2]0528
"KUNSHAN JOGON PACKING CO., LTD.",昆山久广包装制品有限公司,E2,0530,[E2]0530
"SHENZHEN WATE TECHNOLOGY INTELLIGENT MANUFACTURING CO., LTD.",深圳市瓦特技术智造有限公司/恩利,E2,0532,[E2]0532
"HEBEI PUSAI BICYCLE CORP., LTD.",河北普赛自行车有限公司,E2,0534,[E2]0534
"SHENZHEN TANKE BIKE CO., LTD.",深圳碳客自行车有限公司,E2,0536,[E2]0536
"LANXI RUIXIANG CHAIN CO., LTD.",兰溪市瑞祥链业有限公司,E2,0539,[E2]0539
"HANDAN TENGLIN BICYCLE CO., LTD.",邯郸市腾林自行车有限公司,E2,0542,[E2]0542
"DESTINY RACING (HUAIAN) INTERNATIONAL CO., LTD.",明伦运动器材（淮安）有限公司,E2,0545,[E2]0545
"SR SUNTOUR MACHINERY (KUNSHAN) CO., LTD.",荣轮机械（昆山）有限公司,E2,0705,[E2]0705
"PIN SHANG JIA BICYCLE (SHENZHEN) APPLIANCE CO., LTD.",品上佳自行车（深圳）有限公司,E2,0711,[E2]0711
"SHENZHEN YONG DING HONG SCIENCE AND TECHNOLOGY CO., LTD.",深圳市永鼎宏科技有限公司,E2,0716,[E2]0716
"SHENZHEN GINEYEA TECHNOLOGY CO., LTD.",深圳市景晔交通器材有限公司,E2,0721,[E2]0721
"XINGTAI YIFENG TECHNOLOGY CO., LTD.",邢台燚烽科技有限公司,E2,0729,[E2]0729
"NINGBO LONGHUI BICYCLE CO., LTD.",宁波隆辉车业有限公司,E2,0732,[E2]0732
"SHENZHEN YIBOTONG BICYCLE PART CO., LTD.",深圳市益钵通自行车配件有限公司,E2,0736,[E2]0736
"SHENZHEN MOTION SPORTS INDUSTRY CO., LTD.",深圳市魔迅体育实业有限公司,E2,0742,[E2]0742
"KUNSHAN XERO BICYCLE MATERIAL CO., LTD.",昆山鑫元鸿车料有限公司,E2,0745,[E2]0745
"NINGBO SHUNFENG BICYCLE CO., LTD.",宁波晟路车业有限公司（原顺峰）,E2,0901,[E2]0901
江苏美乐链条车圈有限公司/江苏华久辐条制造有限公司,江苏美乐链条车圈有限公司/江苏华久辐条制造有限公司,E2,0905,[E2]0905
HL CORP (SHENZHEN),深圳信隆健康产业发展股份有限公司,E2,0911,[E2]0911
"NINGBO SUNRUN BICYCLE CO., LTD.",宁波日骋车业有限公司,E2,0916,"[E2]0916,[E2]0334"
"NINGBO SUNRUN BICYCLE CO., LTD.",宁波日骋车业有限公司,E2,0334,"[E2]0916,[E2]0334"
NECO,江苏志庆精密五金零件有限公司,E2,0921,[E2]0921
"CIXI CITY KENLI AXLES CO., LTD.",慈溪市肯力中轴有限公司,E2,0926,[E2]0926
SLHBIKE,上海箭羽贸易有限公司,E2,0932,[E2]0932
TIANJIN DACHENG WEIYE TECHNOLOGY INC.,天津市大城伟业科技股份有限公司,E2,0934,[E2]0934
"FASTACE PRECISION METALS CO., LTD.",中山市法斯特精密五金有限公司,E2,0936,[E2]0936
"CIONLLI BICYCLE COMPONENTS CO., LTD.",祥力自行车配件（太仓）有限公司,E2,0939,[E2]0939
"SUZHOU FALCON CYCLE-PARTS CO., LTD.",苏州福而康车料有限公司,E2,0942,[E2]0942
"YUNGFANG PLASTIC METAL (KUNSHAN) CO., LTD.",永芳塑胶（昆山）有限公司,E2,0945,[E2]0945
INTRODUCTION TO QINGDAO CHOHO INDUSTRIAL,青岛征和工业股份有限公司,E2,1132,[E2]1132
"CHAGNZHOU ZHEGNLUN BICYCLE TECHNOLOGY CO., LTD.",常州正伦车业科技有限公司,E2,1136,[E2]1136
"NINGBO DOUYU PLASTIC CO., LTD.",宁波市大圆塑胶有限公司,E2,1142,[E2]1142
"YIWU BUNGO OUTDOOR PRODUCTS CO., LTD.",义乌蹦果户外用品有限公司/慈溪市通利车业有限公司,E2,1145,[E2]1145
"CYCLE-BAY INTERNATIONAL CO., LTD.",大甲车业,E2,1205,[E2]1205
"HUIZHOU MINGRUI SPORTS EQUIPMENT CO., LTD.",惠州市铭瑞运动器材有限公司,E2,1216,[E2]1216
"XIANGYU INDUSTRIAL (TAICANG) CO., LTD.",翔宇实业（太仓）有限公司,E2,1218,[E2]1218
"WUXI LASCO PRECISION MACHINE CO., LTD.",无锡莱斯克精密机件有限公司,E2,1221,[E2]1221
"TEKTRO (WUXI) TECHNOLOGY CO., LTD.",伟成（无锡）金属有限公司,E2,1223,[E2]1223
"NINGBO ZHONGYING BICYCLE PARTS CO., LTD.",宁波钟赢车业有限公司,E2,1226,[E2]1226
"NINGBO HAOXING BICYCLE INDUSTRY CO., LTD.",宁波豪星车业有限公司,E2,1326,[E2]1326
"TIANJIN ACCURA BICYCLE COMPONENTS CO., LTD.",天津顺泽天自行车零件有限公司（世兴恒）,E2,1332,[E2]1332
"GUANGZHOU LEONIS MACHINERY CO., LTD.",广州市银三环机械有限公司,E2,1334,[E2]1334
"HANGZHOU MINGYANG BICYCLE CO., LTD.",杭州铭洋车业有限公司,E2,1336,[E2]1336
惠州市东鑫源五金制品有限公司,惠州市东鑫源五金制品有限公司,E2,1339,[E2]1339
"TIANJIN RUIJIN SPORTS CO., LTD.",天津瑞锦体育用品有限公司,E2,1342,[E2]1342
"TIANJIN AIBAIKE BICYCLE CO., LTD.",天津市艾拜克自行车股份有限公司,E2,1345,"[E2]1345,[W5]0915,[E3]1640"
"TIANJIN AIBAIKE BICYCLE CO., LTD.",天津市艾拜克自行车股份有限公司,W5,0915,"[E2]1345,[W5]0915,[E3]1640"
"TIANJIN AIBAIKE BICYCLE CO., LTD.",天津市艾拜克自行车股份有限公司,E3,1640,"[E2]1345,[W5]0915,[E3]1640"
"ASSESS PRECISION OPTICAL MACHINERY (JIANGSU) CO., LTD. / ASSESS INDUSTRY CO., LTD.",雅瑟斯精密机械（江苏）有限公司/雅瑟斯工业股份有限公司,E2,1346,[E2]1346
"HUIZHOU SHUNMENG TECHNOLOGY CO., LTD.",惠州市顺盟科技有限公司,E2,1505,[E2]1505
"SHENZHEN SANYUN TECHNOLOGY CO., LTD.",深圳市三云科技有限公司,E2,1508,[E2]1508
"DONGGUAN YENYUE MACHINERY CO., LTD.",东莞元渝机械有限公司,E2,1511,[E2]1511
"NOVATECWHEELS (SHEN ZHEN) CO., LTD.",诺飞客全球营销（深圳）有限公司,E2,1513,[E2]1513
"SUZHOU DAWEI PRECISION CO., LTD.",苏州达韦精密工业有限公司,E2,1516,[E2]1516
"SUNSTART METAL PRODUCTS CO., LTD.",唐山盛斯拓金属制品有限公司,E2,1521,[E2]1521
"CIXI CITY SHENGFU BICYCLE INDUSTRY CO., LTD. / NINGBO SHENGJIE BICYCLE CO., LTD.",慈溪市圣福车业有限公司/宁波圣洁车业有限公司,E2,1526,[E2]1526
"NANTONG REPUTE BICYCLE PARTS CO., LTD.",南通瑞普特车业有限公司,E2,1532,[E2]1532
"NINGBO FENGLAN BICYCLE CO., LTD.",宁波市丰兰车业有限公司,E2,1534,[E2]1534
"TIANJIN KASHIMA INDUSTRY BICYCLE CO., LTD.",天津市卡希玛车业有限公司,E2,1536,[E2]1536
"BLUESKY (KUNSHAN) PRINTING CO., LTD.",昆山市蓝天印务有限公司,E2,1539,[E2]1539
"ZHEJIANG SHANYANG SPORTS EQUIPMENT CO., LTD.",浙江善阳运动器材有限公司,E2,1542,[E2]1542
"KUNSHAN HOVERIC SPORTS SCIENCE TECHNOLOGY CO., LTD.",昆山泓瑞凯运动科技有限公司,E2,1545,[E2]1545
东莞富厚自行车零件有限公司,东莞富厚自行车零件有限公司,E2,1701,[E2]1701
"JIANGYIN CITY JIUAN BICYCLE INDUSTRY CO., LTD.",江阴市久安车业有限公司,E2,1705,[E2]1705
"JIUHONG METAL PRODUCTS (DONGGUAN) CO., LTD.",久鸿金属制品（东莞市）有限公司,E2,1707,[E2]1707
"FOUNDER LAND PRECISION HARDWARE (DONGGUAN) CO., LTD.",逢联精密五金（东莞）有限公司,E2,1709,[E2]1709
"NINGBO ZHEHANG BIKE CO., LTD.",宁波哲航车业有限公司,E2,1711,[E2]1711
"TIANJIN JOOD METAL PRODUCTS CO., LTD.",天津钜德成金属制品有限公司,E2,1713,[E2]1713
"TSLG (KUNSHAN) CO., LTD.",耐落螺丝（昆山）有限公司,E2,1717,[E2]1717
"HANGZHOU XINLU CHAIN GUARD CO., LTD.",杭州鑫鹿链罩有限公司,E2,1719,[E2]1719
TAI ZHOU XRD BICYCLE PARTS,泰州市新锐达车业有限公司,E2,1721,[E2]1721
XINGTAI BEIFUTE ZIXINGCHE YOUXIANGONGSI,邢台贝浮特自行车有限公司,E2,1722,[E2]1722
恒美自行车（天津）有限公司,恒美自行车（天津）有限公司,E2,1725,[E2]1725
"ZEIT BICYCLE INDUSTRIAL CO., LTD.",柴特工业有限公司,E2,1727,[E2]1727
"NINGBO FINESUN BEARING CO., LTD.",慈溪市合进成轴承有限公司,E2,1728,[E2]1728
ALPHA CYCLING,杭州爱赛客科技有限公司,E2,1729,[E2]1729
"TIANJIN HAIYUE TECHNOLOGY CO., LTD.",天津海越科技有限公司,E2,1731,[E2]1731
"SHANGHAI HUIMEI PLASTIC CO., LTD.",上海汇美塑料制品有限公司,E2,1801,[E2]1801
邢台正锋自行车零件有限公司,邢台正锋自行车零件有限公司,E2,1803,[E2]1803
"MING SHIJU CO., LTD.",名师车有限公司,E2,1805,[E2]1805
"XINGTAI SHENGXIN BICYCLE CO., LTD.",邢台市胜鑫自行车有限公司,E2,1806,[E2]1806
天津耀胜运动器材有限公司（天津市武清区东鑫自行车零件厂）,天津耀胜运动器材有限公司（天津市武清区东鑫自行车零件厂）,E2,1808,[E2]1808
"SHENZHEN MOZO TECHNOLOGY CO., LTD.",深圳市摩大科技有限公司,E2,1811,[E2]1811
"LIDROP TECHNOLOGY (SHENZHEN) CO., LTD.",一丁点科技（深圳）有限公司,E2,1813,[E2]1813
"SHENZHEN WEIKAILONG CAR INDUSTRY CO., LTD.",深圳市威凯龙车业有限公司,E2,1815,[E2]1815
"JIANGSU SAFORT METAL PRODUCTS CO., LTD.",江苏喜富德金属制品有限公司,E2,1817,[E2]1817
"TIANJIN MEGHNA BICYCLE CO., LTD.",天津美格纳自行车有限公司,E3,0001,[E3]0001
"HANGZHOU ZHONGXING BICYCLE CO., LTD.",杭州中兴车业有限公司,E3,0006,[E3]0006
"WENZHOU LITTLE SQUIRREL HARDWARE CO., LTD.",温州小松鼠五金有限公司,E3,0008,[E3]0008
"HEBEI BAISIKE BICYCLE CO., LTD.",河北佰思克车业有限公司,E3,0009,[E3]0009
"NINGBO JITENG VEHICLE PARTS CO., LTD.",宁波吉腾车辆配件有限公司,E3,0013,[E3]0013
"HANGZHOU ZIFENG BICYCLE CO., LTD.",浙江自凤自行车有限公司,E3,0015,[E3]0015
"CIXI KAIYU MANIPULATE CABLE CO., LTD.",慈溪市凯宇操纵索有限公司,E3,0017,[E3]0017
"NINGBO BIKEBEARING CO., LTD.",宁波百克轴承有限公司,E3,0021,[E3]0021
TJXHD ZIXINGBIKE,天津鑫辉达自行车有限公司,E3,0022,[E3]0022
"FOSHAN HONGZUAN SPORTING GOODS CO., LTD.",佛山市鸿钻运动用品有限公司,E3,0023,[E3]0023
"CIXI DAFENG BICYCLE CO., LTD.",慈溪大丰车业有限公司,E3,0025,"[E3]0025,[E5]0013"
"CIXI DAFENG BICYCLE CO., LTD.",慈溪大丰车业有限公司,E5,0013,"[E3]0025,[E5]0013"
SINMAT TECHNOLOGY CORP.,南宜国际材料有限公司,E3,0029,[E3]0029
QINGDAO ROADUP VEHICLE PARTS,青岛路达普车辆配件有限公司,E3,0031,[E3]0031
"NINGBO AOYANG BICYCLE CO., LTD.",宁波奥洋车业有限公司,E3,0105,[E3]0105
HENGYANG CHEYE,慈溪市恒阳车业有限公司,E3,0109,[E3]0109
"NINGBO ZHIDE BICYCLE INDUSTRY CO., LTD.",宁波智德车业有限公司,E3,0112,[E3]0112
"TIANJIN SSEART NEW MATERIAL CO., LTD.",天津盛达新材料有限公司,E3,0114,[E3]0114
